lib_mrq;lib_mod_doss;lib_mod;dscom;cnit;tvv;cod_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;date_maj;Carrosserie;gamme;;;;
ALFA-ROMEO;159;159;159 1750 Tbi (200ch);M10ALFVP000G340;939AXN1B52C;ES;non;12;147;M 6;11,30000019;5,800000191;7,800000191;182;0,647000015;0,052000001;0,032000002;;0,002;1505;1505;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 1750 Tbi (200ch);M10ALFVP000H341;939BXN1B53C;ES;non;12;147;M 6;11,5;6;8;186;0,647000015;0,052000001;0,032000002;;0,002;1555;1555;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 2.0 JTDm (136ch);M10ALFVP000E302;939AXR1B64;GO;non;7;100;M 6;6,599999905;4,199999809;5,099999905;134;0,066;;0,149000004;0,174999997;0,001;1565;1565;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 2.0 JTDm (136ch);M10ALFVP000F303;939AXR1B64B;GO;non;7;100;M 6;6,599999905;4,199999809;5,099999905;134;0,066;;0,149000004;0,174999997;0,001;1565;1565;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 2.0 JTDm (170ch);M10ALFVP000G304;939AXS1B66;GO;non;9;125;M 6;6,900000095;4,300000191;5,300000191;139;0,059999999;;0,164000005;0,193000004;0,001;1565;1565;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 2.0 JTDm (170ch);M10ALFVP000H305;939AXS1B66B;GO;non;9;125;M 6;6,900000095;4,300000191;5,300000191;139;0,059999999;;0,164000005;0,193000004;0,001;1565;1565;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 2.0 JTDm (170ch) ECO;M10ALFVP000U221;939AXP1B54C;GO;non;9;125;M 6;6,599999905;4,300000191;5,099999905;136;0,192000002;;0,169;0,189999998;0,003;1565;1565;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (136ch);M10ALFVP000J306;939BXR1B65;GO;non;7;100;M 6;6,800000191;4,300000191;5,199999809;137;0,066;;0,149000004;0,174999997;0,001;1615;1615;715/2007*692/2008EURO5;mars-14;BREAK;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (136ch);M10ALFVP000J307;939BXR1B65B;GO;non;7;100;M 6;6,800000191;4,300000191;5,199999809;137;0,066;;0,149000004;0,174999997;0,001;1615;1615;715/2007*692/2008EURO5;mars-14;BREAK;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (170ch);M10ALFVP000K308;939BXS1B67;GO;non;9;125;M 6;7,099999905;4,400000095;5,400000095;142;0,059999999;;0,164000005;0,193000004;0,001;1615;1615;715/2007*692/2008EURO5;mars-14;BREAK;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (170ch);M10ALFVP000L309;939BXS1B67B;GO;non;9;125;M 6;7,099999905;4,400000095;5,400000095;142;0,059999999;;0,164000005;0,193000004;0,001;1615;1615;715/2007*692/2008EURO5;mars-14;BREAK;MOY-SUPER;;;;
ALFA-ROMEO;159;159;159 SW 2.0 JTDm (170ch) ECO;M10ALFVP000S255;939BXP1B55C;GO;non;9;125;M 6;6,699999809;4,400000095;5,199999809;139;0,192000002;;0,169;0,189999998;0,003;1615;1615;715/2007*692/2008EURO5;mars-14;BREAK;MOY-SUPER;;;;
ALFA-ROMEO;4C;4C;4C;M10ALFVP000S413;960CXB1A01;ES;non;14;177;A 6;9,800000191;5;6,800000191;157;0,404000014;0,044;0,037999999;;0,003;995;995;715/2007*195/2013EURO6;mars-14;COUPE;LUXE;;;;
ALFA-ROMEO;AR8C SPIDER;8C SPIDER;8C SPIDER;M10ALFVP0005293;920BXA1A00B;ES;non;38;331;M 6;24,39999962;11,60000038;16,29999924;379;0,500999987;0,037999999;0,027000001;;;1750;1750;715/2007*692/2008EURO5;mars-14;CABRIOLET;LUXE;;;;
ALFA-ROMEO;AR8C SPIDER;8C SPIDER;8C SPIDER;M10ALFVP0006039;920BXA1A00;ES;non;38;331;M 6;24,39999962;11,60000038;16,29999924;379;0,500999987;0,037999999;0,027000001;;;1750;1750;715/2007*692/2008EURO5;mars-14;CABRIOLET;LUXE;;;;
ALFA-ROMEO;BRERA;BRERA;BRERA 1750 TBI (200ch);M10ALFVP0003266;939DXN1B56;ES;non;12;147;M 6;11,80000019;6;8,100000381;189;0,601000011;0,059999999;0,039999999;;0,003;1505;1505;715/2007*692/2008EURO5;mars-14;COUPE;MOY-SUPER;;;;
ALFA-ROMEO;BRERA;BRERA;BRERA 1750 TBI (200ch);M10ALFVP0004267;939DXN1B56B;ES;non;12;147;M 6;11,80000019;6;8,100000381;189;0,601000011;0,059999999;0,039999999;;0,003;1505;1505;715/2007*692/2008EURO5;mars-14;COUPE;MOY-SUPER;;;;
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0005268;939DXP1B58;GO;non;9;125;M 6;7,099999905;4,400000095;5,400000095;142;0,188999996;;0,155000001;0,180000007;0,002;1555;1555;715/2007*692/2008EURO5;mars-14;COUPE;MOY-SUPER;;;;
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0006269;939DXP1B58B;GO;non;9;125;M 6;7,099999905;4,400000095;5,400000095;142;0,188999996;;0,155000001;0,180000007;0,002;1555;1555;715/2007*692/2008EURO5;mars-14;COUPE;MOY-SUPER;;;;
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0007270;939DXQ1B60;GO;non;9;120;M 6;7,099999905;4,400000095;5,400000095;142;0,188999996;;0,155000001;0,180000007;0,002;1555;1555;715/2007*692/2008EURO5;mars-14;COUPE;MOY-SUPER;;;;
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0008271;939DXQ1B60B;GO;non;9;120;M 6;7,099999905;4,400000095;5,400000095;142;0,188999996;;0,155000001;0,180000007;0,002;1555;1555;715/2007*692/2008EURO5;mars-14;COUPE;MOY-SUPER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 MPI T-jet (120ch) S/S;M10ALFVP0006294;940FXA1A00C;ES;non;7;88;M 6;8,399999619;5,300000191;6,400000095;149;0,356000006;0,029999999;0,026000001;;;1355;1355;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 MPI T-jet (120ch) S/S;M10ALFVP0007295;940FXA1A00D;ES;non;7;88;M 6;8,399999619;5,300000191;6,400000095;149;0,356000006;0,029999999;0,026000001;;;1355;1355;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0002326;940FXG1A06;ES;non;9;120;M 6;7,800000191;4,599999905;5,800000191;134;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0003327;940FXG1A06B;ES;non;9;120;M 6;7,800000191;4,599999905;5,800000191;134;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0003388;940FXB1A01E;ES;non;9;125;M 6;7,599999905;4,599999905;5,699999809;132;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0004170;940FXB1A01;ES;non;9;125;M 6;7,800000191;4,599999905;5,800000191;134;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0004389;940FXB1A01F;ES;non;9;125;M 6;7,599999905;4,599999905;5,699999809;132;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0005390;940FXB1A01G;ES;non;9;125;M 6;7,599999905;4,599999905;5,699999809;132;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0006330;940FXB1A01C;ES;non;9;125;M 6;7,800000191;4,599999905;5,800000191;134;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0006391;940FXB1A01H;ES;non;9;125;M 6;7,599999905;4,599999905;5,699999809;132;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0007331;940FXB1A01D;ES;non;9;125;M 6;7,800000191;4,599999905;5,800000191;134;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0008296;940FXB1A01C;ES;non;9;125;M 6;7,800000191;4,599999905;5,800000191;134;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0009297;940FXB1A01D;ES;non;9;125;M 6;7,800000191;4,599999905;5,800000191;134;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*692/2008EURO5;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0009394;940FXG1A06C;ES;non;9;120;M 6;7,599999905;4,599999905;5,699999809;132;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP000A395;940FXG1A06D;ES;non;9;120;M 6;7,599999905;4,599999905;5,699999809;132;0,275999993;0,048;0,028999999;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP000B396;940FXB1A01L;ES;non;9;125;M 6;7,599999905;4,599999905;5,699999809;131;0,465999991;0,044;0,035;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP000C397;940FXB1A01M;ES;non;9;125;M 6;7,599999905;4,599999905;5,699999809;131;0,465999991;0,044;0,035;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP000D398;940FXB1A01N;ES;non;9;125;M 6;7,599999905;4,599999905;5,699999809;131;0,465999991;0,044;0,035;;;1365;1365;715/2007*195/2013EURO6;mars-14;BERLINE;MOY-INFER;;;;
