marque,modele_dossier,modele,type_carburant,est_hybride,puissance_fiscale,conso_urbaine,conso_extraurbaine,conso_mixte,co2_gkm,masse_min_kg,masse_max_kg,carrosserie,gamme,motorisation
ALFA-ROMEO,159,159,ES,non,12,"11,30000019","5,800000191","7,800000191",182.0,1505,1505,BERLINE,MOY-SUPER,essence
ALFA-ROMEO,159,159,ES,non,12,"11,5",6,8,186.0,1555,1555,BERLINE,MOY-SUPER,essence
ALFA-ROMEO,159,159,GO,non,7,"6,599999905","4,199999809","5,099999905",134.0,1565,1565,BERLINE,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,7,"6,599999905","4,199999809","5,099999905",134.0,1565,1565,BERLINE,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,9,"6,900000095","4,300000191","5,300000191",139.0,1565,1565,BERLINE,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,9,"6,900000095","4,300000191","5,300000191",139.0,1565,1565,BERLINE,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,9,"6,599999905","4,300000191","5,099999905",136.0,1565,1565,BERLINE,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,7,"6,800000191","4,300000191","5,199999809",137.0,1615,1615,BREAK,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,7,"6,800000191","4,300000191","5,199999809",137.0,1615,1615,BREAK,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,9,"7,099999905","4,400000095","5,400000095",142.0,1615,1615,BREAK,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,9,"7,099999905","4,400000095","5,400000095",142.0,1615,1615,BREAK,MOY-SUPER,diesel
ALFA-ROMEO,159,159,GO,non,9,"6,699999809","4,400000095","5,199999809",139.0,1615,1615,BREAK,MOY-SUPER,diesel
ALFA-ROMEO,4C,4C,ES,non,14,"9,800000191",5,"6,800000191",157.0,995,995,COUPE,LUXE,essence
ALFA-ROMEO,AR8C SPIDER,8C SPIDER,ES,non,38,"24,39999962","11,60000038","16,29999924",379.0,1750,1750,CABRIOLET,LUXE,essence
