annee,part_ve_nationale,intensite_carbone_gco2_kwh
2010,5.522825181270888e-06,78.561775
2011,0.00021085238905716838,74.62344
2012,0.0021762912220173133,77.59258
2013,0.004351667945269432,76.27222
2014,0.004746578294883786,52.19756
2015,0.012981195785326177,59.149334
2016,0.015620881219195266,68.6064
2017,0.016483148777829294,78.26258
2018,0.01699421998707775,59.92359
2019,0.023418624070605007,59.78751
2020,0.08511853171367159,59.08005
2021,0.13714596394243594,59.787445
2022,0.20564670924142747,78.55024
2023,0.23756717360620924,55.27541
