annee,yhat,yhat_lower,yhat_upper,trend,scenario_conservateur,scenario_realiste,scenario_ambitieux,co2_evite_conservateur_t,co2_evite_realiste_t,co2_evite_ambitieux_t,co2_evite_total_tonnes,co2_evite_cumule_tonnes
2010,0.00017132942653992728,0.0,0.0123046848852128,0.00017132942653992728,0.00011993059857794909,0.00017132942653992728,0.00023986119715589817,5766.977965995317,8238.539951421883,11533.955931990635,8238.539951421883,8238.539951421883
2011,0.00032403124383637076,0.0,0.012609183190800248,0.00032403124383637076,0.0002268218706854595,0.00032403124383637076,0.000453643741370919,10906.94740090618,15581.353429865972,21813.89480181236,15581.353429865972,23819.893381287853
2012,0.0006136935127394418,0.0,0.013644896161030881,0.0006136935127394418,0.0004295854589176093,0.0006136935127394418,0.0008591709178352186,20657.029194093804,29510.041705848293,41314.05838818761,29510.041705848293,53329.935087136146
2013,0.0011595204567298922,0.0,0.013948505342711599,0.0011595204567298922,0.0008116643197109245,0.0011595204567298922,0.001623328639421849,39029.65801104673,55756.65430149533,78059.31602209347,55756.65430149533,109086.58938863147
2014,0.002188153177983314,0.0,0.01549873467207101,0.002188153177983314,0.0015317072245883195,0.002188153177983314,0.003063414449176639,73653.61233326496,105219.44619037851,147307.22466652992,105219.44619037851,214306.03557900997
2015,0.004119879610683701,0.0,0.01701797303044496,0.004119879610683701,0.0028839157274785907,0.004119879610683701,0.0057678314549571815,138675.85631490644,198108.36616415207,277351.7126298129,198108.36616415207,412414.4017431621
2016,0.007737088940260397,0.0,0.02052587177996065,0.007737088940260397,0.0054159622581822775,0.007737088940260397,0.010831924516364555,260431.7445084627,372045.3492978039,520863.4890169254,372045.3492978039,784459.751040966
2017,0.014390276604757592,0.0012752507304596326,0.02745995577557202,0.014390276604757592,0.010073193623330314,0.014390276604757592,0.020146387246660628,484379.18564371654,691970.2652053095,968758.3712874331,691970.2652053095,1476430.0162462755
2018,0.02637984758579483,0.01369052014276504,0.03893832547307854,0.02637984758579483,0.01846589331005638,0.02637984758579483,0.03693178662011276,887950.2070716387,1268500.2958166269,1775900.4141432773,1268500.2958166269,2744930.3120629024
2019,0.047137669789669795,0.03446269749649189,0.05897190005681913,0.047137669789669795,0.032996368852768854,0.047137669789669795,0.06599273770553771,1586662.072799489,2266660.1039992706,3173324.145598978,2266660.1039992706,5011590.4160621725
2020,0.08081393368196749,0.06939410665900064,0.09383071714183672,0.08081393368196749,0.05656975357737724,0.08081393368196749,0.11313950715475447,2720210.907731619,3886015.582473742,5440421.815463238,3886015.582473742,8897605.998535914
2021,0.1295525642988192,0.11674143718949025,0.14184982632348797,0.1295525642988192,0.09068679500917344,0.1295525642988192,0.18137359001834688,4360761.597339314,6229659.424770449,8721523.194678629,6229659.424770449,15127265.423306365
2022,0.19017219206160066,0.17762531324634884,0.20245118082185667,0.19017219206160066,0.13312053444312044,0.19017219206160066,0.2662410688862409,6401228.694410513,9144612.420586448,12802457.388821026,9144612.420586448,24271877.843892813
2023,0.2526576354298017,0.24029787232584884,0.2651754744331021,0.2526576354298017,0.17686034480086116,0.2526576354298017,0.3537206896017223,8504499.465680419,12149284.950972026,17008998.931360837,12149284.950972026,36421162.79486484
2024,0.3058825089879891,0.292672420351552,0.31833181480182854,0.3058825089879891,0.21411775629159235,0.3058825089879891,0.4282355125831847,10296057.864327257,14708654.091896083,20592115.728654515,14708654.091896083,51129816.88676092
2025,0.3440481887401031,0.33213167933937016,0.3560156382859623,0.3440481887401031,0.24083373211807216,0.3440481887401031,0.4816674642361443,11580721.209280333,16543887.44182905,23161442.418560665,16543887.44182905,67673704.32858998
2026,0.3683391928118303,0.3564024303748916,0.3804354295311449,0.3683391928118303,0.2578374349682812,0.3683391928118303,0.5,12398360.584387371,17711943.69198196,24042980.0,17711943.69198196,85385648.02057193
2027,0.38261727720354755,0.37042981498620703,0.39556634423016296,0.38261727720354755,0.26783209404248326,0.38261727720354755,0.5,12878963.36084309,18398519.0869187,24042980.0,18398519.0869187,103784167.10749063
2028,0.39063632476289034,0.37869673361568645,0.402735809289885,0.39063632476289034,0.2734454273340232,0.39063632476289034,0.5,13148885.880966745,18784122.687095355,24042980.0,18784122.687095355,122568289.79458599
2029,0.39499567809904373,0.3825431300291316,0.40757576258948136,0.39499567809904373,0.2764969746693306,0.39499567809904373,0.5,13295622.464070445,18993746.377243493,24042980.0,18993746.377243493,141562036.1718295
2030,0.3973393140978726,0.38494046880788513,0.4109959856106328,0.3973393140978726,0.2781375198685108,0.3973393140978726,0.5,13374509.654896416,19106442.36413774,24042980.0,19106442.36413774,160668478.53596723
2031,0.3985892928234642,0.3859768791102931,0.4116214552887789,0.3985892928234642,0.27901250497642494,0.3985892928234642,0.5,13416584.15379617,19166548.79113739,24042980.0,19166548.79113739,179835027.32710463
2032,0.3992544418987578,0.38682573039578766,0.41287020615733305,0.3992544418987578,0.2794781093291304,0.3992544418987578,0.5,13438973.186076192,19198533.12296599,24042980.0,19198533.12296599,199033560.45007062
2033,0.3996055949436716,0.3871563297813366,0.41200933551360597,0.3996055949436716,0.2797239164605701,0.3996055949436716,0.5,13450793.057966316,19215418.6542376,24042980.0,19215418.6542376,218248979.10430822
2034,0.3997914435693074,0.3870465008413757,0.4121896883842351,0.3997914435693074,0.27985401049851516,0.3997914435693074,0.5,13457048.754671182,19224355.36381598,24042980.0,19224355.36381598,237473334.4681242
2035,0.3998897421470578,0.38749075979748354,0.411859601778625,0.3998897421470578,0.27992281950294046,0.3998897421470578,0.5,13460357.501705615,19229082.14529374,24042980.0,19229082.14529374,256702416.61341795
